position_id | created_at          |
|     2185383 | 2016-12-14 11:04:21 |
|     2535965 | 2016-12-14 11:05:37 |
|     2145239 | 2016-12-14 11:09:43 |
|     1463966 | 2016-12-14 11:11:29 |
|     1195721 | 2016-12-14 11:11:31 |
|     2463298 | 2016-12-14 11:14:40 |
|     2111157 | 2016-12-14 11:14:44 |
|     2186839 | 2016-12-14 11:16:20 |
|     2488660 | 2016-12-14 11:16:34 |
|     2487918 | 2016-12-14 11:17:35 |
|     2227014 | 2016-12-14 11:22:13 |
|     1736676 | 2016-12-14 11:22:28 |
|     2115722 | 2016-12-14 11:23:19 |
|     2188215 | 2016-12-14 11:23:26 |
|     2481906 | 2016-12-14 11:23:52 |
|     2323236 | 2016-12-14 11:24:59 |
|     2281639 | 2016-12-14 11:25:15 |
|     2456192 | 2016-12-14 11:26:10 |
|     2282777 | 2016-12-14 11:31:41 |
|     1490454 | 2016-12-14 11:33:32 |
|     2064280 | 2016-12-14 11:35:47 |
|     2504025 | 2016-12-14 11:37:29 |
|      191162 | 2016-12-14 11:37:30 |
|     2514559 | 2016-12-14 11:38:35 |
|      378420 | 2016-12-14 11:39:21 |
|     1920357 | 2016-12-14 11:41:25 |
|     2445014 | 2016-12-14 11:43:47 |
|     2366723 | 2016-12-14 11:47:34 |
|     2235594 | 2016-12-14 11:49:27 |
|       21868 | 2016-12-14 11:51:11 |
|     1287905 | 2016-12-14 11:51:20 |
|     2467414 | 2016-12-14 11:56:21 |
|     1951564 | 2016-12-14 11:58:21 |
|     1255284 | 2016-12-14 12:00:46 |
|     2487003 | 2016-12-14 12:01:55 |
|     2368275 | 2016-12-14 12:02:46 |
|     2541682 | 2016-12-14 12:03:09 |
|     1377236 | 2016-12-14 12:03:17 |
|      565204 | 2016-12-14 12:03:29 |
|     2421783 | 2016-12-14 12:06:31 |
|      988829 | 2016-12-14 12:15:12 |
|     1866362 | 2016-12-14 12:16:28 |
|     2521043 | 2016-12-14 12:18:28 |
|     1866253 | 2016-12-14 12:22:25 |
|     2396654 | 2016-12-14 12:28:30 |
|     2544504 | 2016-12-14 12:41:14 |
|     2563137 | 2016-12-14 12:49:26 |
|     2583807 | 2016-12-14 12:49:41 |
|     2615202 | 2016-12-14 12:49:57 |
|     2623757 | 2016-12-14 12:55:56 |
|     2613517 | 2016-12-14 13:04:13 |
|     2615478 | 2016-12-14 13:05:56 |
|     2572509 | 2016-12-14 13:09:26 |
|     2637631 | 2016-12-14 13:09:41 |
|     2589297 | 2016-12-14 13:30:38 |
|     2653456 | 2016-12-14 13:33:34 |
|     2634833 | 2016-12-14 13:33:50 |
|     2606771 | 2016-12-14 13:34:46 |
|     2653404 | 2016-12-14 13:35:46 |
|     2641621 | 2016-12-14 13:36:14 |
|     2598279 | 2016-12-14 13:37:37 |
|     2628658 | 2016-12-14 13:38:48 |
|     2576932 | 2016-12-14 13:40:13 |
|     2570295 | 2016-12-14 13:40:33 |
|     2610803 | 2016-12-14 13:46:29 |
|     2648742 | 2016-12-14 13:54:13 |
|     2619143 | 2016-12-14 13:55:08 |
|     2608187 | 2016-12-14 13:58:28 |
|     2648807 | 2016-12-14 14:01:39 |
|     2648783 | 2016-12-14 14:03:14 |
|     2648261 | 2016-12-14 14:04:47 |
|     2650413 | 2016-12-14 14:04:53 |
|     2622780 | 2016-12-14 14:05:56 |
|     2637397 | 2016-12-14 14:07:05 |
|     2585338 | 2016-12-14 14:08:12 |
|     2657217 | 2016-12-14 14:09:53 |
|     2654910 | 2016-12-14 14:09:57 |
|     2635637 | 2016-12-14 14:12:47 |
|     2648683 | 2016-12-14 14:17:12 |
|     2568111 | 2016-12-14 14:20:24 |
|     2616803 | 2016-12-14 14:21:18 |
|     2635929 | 2016-12-14 14:22:27 |
|     2648871 | 2016-12-14 14:30:39 |
|     2660224 | 2016-12-14 14:31:44 |
|     2587599 | 2016-12-14 14:32:29 |
|     2633378 | 2016-12-14 14:36:48 |
|     2589077 | 2016-12-14 14:37:00 |
|     2622260 | 2016-12-14 14:39:56 |
|     2585154 | 2016-12-14 14:41:24 |
|     2653948 | 2016-12-14 14:43:19 |
|     2656407 | 2016-12-14 14:48:50 |
|     2591226 | 2016-12-14 14:56:03 |
|     2645401 | 2016-12-14 14:57:11 |
|     2596799 | 2016-12-14 14:58:27 |
|     2642090 | 2016-12-14 14:59:05 |
|     2630189 | 2016-12-14 15:02:03 |
|     2647217 | 2016-12-14 15:04:42 |
|     2660684 | 2016-12-14 15:10:37 |
|     2631830 | 2016-12-14 15:11:37 |
|     2661244 | 2016-12-14 15:12:53 |
|     2606672 | 2016-12-14 15:21:11 |
|     2661262 | 2016-12-14 15:24:46 |
|     2543844 | 2016-12-14 15:30:59 |
|     2619235 | 2016-12-14 15:36:54 |
|     2467162 | 2016-12-14 15:36:55 |
|     2594663 | 2016-12-14 15:38:05 |
|     2087281 | 2016-12-14 15:39:47 |
|     2306331 | 2016-12-14 15:45:33 |
|     2622498 | 2016-12-14 15:47:31 |
|     2009128 | 2016-12-14 15:48:50 |
|     2619618 | 2016-12-14 15:48:51 |
|     2600404 | 2016-12-14 15:50:19 |
|     2656647 | 2016-12-14 15:51:59 |
|     2401568 | 2016-12-14 15:57:57 |
|     2649011 | 2016-12-14 15:58:50 |
|     2544979 | 2016-12-14 16:06:20 |
|     1796697 | 2016-12-14 16:11:50 |
|     2358336 | 2016-12-14 16:13:48 |
|     2535394 | 2016-12-14 16:15:43 |
|     2631332 | 2016-12-14 16:17:09 |
|     2622164 | 2016-12-14 16:20:27 |
|     2484389 | 2016-12-14 16:33:45 |
|     2648353 | 2016-12-14 16:37:27 |
|     2583140 | 2016-12-14 16:40:20 |
|     2613684 | 2016-12-14 16:43:02 |
|     2648279 | 2016-12-14 16:46:58 |
|     1928436 | 2016-12-14 16:48:56 |
|     2567962 | 2016-12-14 16:50:17 |
